거래일시,포지션,매수시간,매도시간,매수금액,매도금액,손익,수익률(%),성공종목수,1단계실패종목수,3단계실패종목수,삼성E&A_손익,삼성E&A_수익률(%),삼성SDI_손익,삼성SDI_수익률(%),삼성물산_손익,삼성물산_수익률(%),삼성생명_손익,삼성생명_수익률(%),삼성에스디에스_손익,삼성에스디에스_수익률(%),삼성전기_손익,삼성전기_수익률(%),삼성전자_손익,삼성전자_수익률(%),삼성중공업_손익,삼성중공업_수익률(%),삼성증권_손익,삼성증권_수익률(%),삼성카드_손익,삼성카드_수익률(%),삼성화재_손익,삼성화재_수익률(%),에스원_손익,에스원_수익률(%),제일기획_손익,제일기획_수익률(%),호텔신라_손익,호텔신라_수익률(%),비고
2025-11-18 12:01:35,ETF,2025-11-18 12:00:17,2025-11-18 12:01:35,0,12790,12790,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-18 12:02:27,ETF,2025-11-18 12:01:40,2025-11-18 12:02:27,12790,12790,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-18 12:03:15,ETF,2025-11-18 12:02:38,2025-11-18 12:03:15,12790,12790,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-18 12:04:23,ETF,2025-11-18 12:03:25,2025-11-18 12:04:23,12790,12795,5,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-18 12:07:03,바스켓,2025-11-18 12:04:47,2025-11-18 12:07:03,28995646,28972182,-23464,-0.08,14.0,0.0,0.0,0.0,0.0,0.0,0.0,-8000.0,-0.23,-4305.0,-0.19,497.0,0.04,0.0,0.0,-9200.0,-0.09,-904.0,-0.03,-110.0,-0.01,-152.0,-0.07,-1000.0,-0.04,100.0,0.14,-240.0,-0.09,-150.0,-0.06,
2025-11-18 12:08:12,ETF,2025-11-18 12:07:16,2025-11-18 12:08:12,12780,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3단계(가격조회) 실패
2025-11-18 12:08:45,ETF,2025-11-18 12:08:15,2025-11-18 12:08:45,12785,12785,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-18 12:09:13,ETF,2025-11-18 12:08:48,2025-11-18 12:09:13,12775,12785,10,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-18 12:10:26,바스켓,2025-11-18 12:09:36,2025-11-18 12:10:26,26706280,26714835,8555,0.03,14.0,0.0,0.0,-1014.0,-0.15,0.0,0.0,0.0,0.0,-1200.0,-0.05,0.0,0.0,0.0,0.0,1010.0,0.01,5016.0,0.17,-253.0,-0.03,100.0,0.05,5000.0,0.21,400.0,0.14,-504.0,-0.19,0.0,0.0,
