거래일시,포지션,매수시간,매도시간,매수금액,매도금액,손익,수익률(%),성공종목수,1단계실패종목수,3단계실패종목수,삼성E&A_손익,삼성E&A_수익률(%),삼성SDI_손익,삼성SDI_수익률(%),삼성물산_손익,삼성물산_수익률(%),삼성생명_손익,삼성생명_수익률(%),삼성에스디에스_손익,삼성에스디에스_수익률(%),삼성전기_손익,삼성전기_수익률(%),삼성전자_손익,삼성전자_수익률(%),삼성중공업_손익,삼성중공업_수익률(%),삼성증권_손익,삼성증권_수익률(%),삼성카드_손익,삼성카드_수익률(%),삼성화재_손익,삼성화재_수익률(%),에스원_손익,에스원_수익률(%),제일기획_손익,제일기획_수익률(%),호텔신라_손익,호텔신라_수익률(%)
2025-11-18 11:22:14,ETF,2025-11-18 11:22:00,2025-11-18 11:22:14,12820,12820,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-18 11:25:04,바스켓,2025-11-18 11:22:42,2025-11-18 11:25:04,27291635,27305951,14316,0.05,14.0,0.0,0.0,1300.0,0.2,4750.0,0.16,7488.0,0.22,2445.0,0.11,-105.0,-0.01,7002.0,0.38,-9700.0,-0.1,-678.0,-0.02,1210.0,0.14,48.0,0.03,0.0,0.0,100.0,0.14,456.0,0.18,0.0,0.0
